2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 208b32f5-7267-4fc8-b51b-cc3e0f8f6dd4)
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 19d8f662-2b04-4f48-a858-ad0ee46d4fc1)
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 9220fbbc-2789-4181-8c77-1e32e9e734db)
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 6abb7a26-40cc-45a1-9346-c651851eb1ea)
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 5800b1be-007d-4603-9f07-7dd5ca330a3a)
2020-01-27 15:48:54 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 040f22ab-4494-4ab3-a9b9-23c88af183be)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 7295f170-c679-4884-a812-c8b6a0c128bb)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: cbaa644a-30af-4432-aa1c-3ebf66d1d8f1)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 304b4c4d-5700-4e52-9a70-91af960c90ee)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: a663643e-37f8-4921-b970-b3a0b12cadcb)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 5ebd3896-009a-4b01-9999-5c7230e5a8bf)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 651d9878-c613-43c8-b789-4fc1ff7011a3)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: d9be0248-af04-46e7-819a-05b66d953ae6)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 83be4817-24b8-4f9c-9eb9-75e2462e2d3b)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 7b0e382b-70a3-4052-afdf-c5cba691f0f8)
2020-01-27 15:48:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 384c8625-fd04-4bc3-851a-e2196aa702d3)
2020-01-27 15:48:56 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 21d005a0-ada2-4103-9e47-4e1d3ca235a3)
2020-01-27 15:48:56 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 4a55ca87-e816-41ab-bca8-09350fee5023)
